Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (mins),Avg CTAT (mins),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Ride Distance (km),Driver Ratings,Customer Rating
11-09-2025,06:48:00,CNR7533031,Successful,CUST629610,Auto,Rajamahendri,Salarpuria,5,7.2,0,,0,,0,,256.89,9.14,4.2,4.1
18-09-2025,10:06:00,CNR7905860,Failed,CUST736421,Prime Sedan,Banashankari,Basavanagudi,,,0,,0,,0,,,,,
27-09-2025,20:38:00,CNR0709311,Successful,CUST895980,Bike,Frazer Town,Salarpuria,9.2,9.9,0,,0,,0,,1146.51,23.04,4.6,4.8
01-09-2025,08:51:00,CNR3900243,Cancelled-Driver,CUST288757,Prime Sedan,Basavanagudi,Koramangala 4th Block,,,0,,1,Customer related issue,0,,,,,
25-09-2025,01:46:00,CNR1598746,Successful,CUST363502,Mini,Basavanagudi,Chamarajpet,6.9,8.3,0,,0,,0,,364.05,6.76,4.6,4.5
28-09-2025,21:05:00,CNR8054553,Successful,CUST816370,Auto,Frazer Town,Salarpuria,4,6.3,0,,0,,0,,385.95,6.28,4.8,3.4
04-09-2025,17:18:00,CNR0031253,Cancelled-Driver,CUST423287,Mini,Peenya,Banashankari,,,0,,1,The customer was coughing/sick,0,,,,,
06-09-2025,20:39:00,CNR6046097,Incomplete,CUST188077,Auto,Domlur,Malleshwaram,,,0,,0,,1,Other Issue,,,,
29-09-2025,11:36:00,CNR7190636,Failed,CUST796544,eBike,Basavanagudi,Richmond Town,,,0,,0,,0,,,,,
17-09-2025,06:45:00,CNR8939891,Cancelled-Driver,CUST668582,Prime SUV,Banashankari,Ulsoor,,,0,,1,The customer was coughing/sick,0,,,,,
01-09-2025,02:02:00,CNR2113030,Cancelled-Driver,CUST339002,Prime SUV,Ulsoor,Whitefield Main Road,,,0,,1,More than permitted people in there,0,,,,,
08-09-2025,21:14:00,CNR6202383,Successful,CUST294217,Prime Sedan,Basavanagudi,Indiranagar,4,6,0,,0,,0,,716.64,18.42,4.7,4.5
14-09-2025,09:05:00,CNR9258652,Successful,CUST633188,Prime Plus,Jalahalli,Malleshwaram,5.3,7.4,0,,0,,0,,556.61,19.52,4.6,4.1
21-09-2025,03:24:00,CNR3291298,Cancelled-Customer,CUST910176,Prime Sedan,Kengeri,Gottigere,,,1,Driver is not moving towards pickup location,0,,0,,,,,
22-09-2025,20:53:00,CNR3130803,Successful,CUST170580,Mini,Kaggadasapura,Jayanagar,2,2.2,0,,0,,0,,42.72,1.69,4.5,4.7
30-09-2025,11:10:00,CNR0689757,Failed,CUST192293,Prime Sedan,Richmond Town,Ulsoor,,,0,,0,,0,,,,,
10-09-2025,11:22:00,CNR1123633,Cancelled-Driver,CUST997765,Bike,Banashankari,New Thippasandra,,,0,,1,Customer related issue,0,,,,,
17-09-2025,06:42:00,CNR4458599,Successful,CUST937844,Prime Plus,Whitefield,Kumaraswamy Layout,4.7,6.9,0,,0,,0,,733.12,17.06,5,3.5
17-09-2025,08:44:00,CNR3630643,Failed,CUST933787,Auto,Jayanagar,Rajamahendri,,,0,,0,,0,,,,,
13-09-2025,19:34:00,CNR5532306,Successful,CUST353838,Mini,Sanjay Nagar,Kumaraswamy Layout,3.9,5.6,0,,0,,0,,626.55,17.1,4.9,5
07-09-2025,21:17:00,CNR5144166,Successful,CUST565497,Prime Plus,Kalyan Nagar,Malleshwaram,7.8,10,0,,0,,0,,1030.36,19.06,4,4.4
30-09-2025,20:44:00,CNR6222599,Successful,CUST763449,Mini,Indiranagar,Koramangala 4th Block,4,5.7,0,,0,,0,,99.42,1.81,4.7,5
27-09-2025,17:14:00,CNR6515471,Cancelled-Customer,CUST233164,Prime SUV,Banashankari,Langford Town,,,1,Driver is not moving towards pickup location,0,,0,,,,,
15-09-2025,01:14:00,CNR3237572,Successful,CUST385061,Auto,Whitefield,Yelahanka,3.5,4.9,0,,0,,0,,605.27,19.76,5,3.7
20-09-2025,01:51:00,CNR6644631,Cancelled-Customer,CUST882112,Bike,Ejipura,Banaswadi,,,1,Change of plans,0,,0,,,,,
07-09-2025,22:56:00,CNR7899199,Cancelled-Driver,CUST816018,Prime Sedan,Frazer Town,Gandhi Nagar,,,0,,1,More than permitted people in there,0,,,,,
17-09-2025,22:20:00,CNR8561286,Successful,CUST813761,Mini,MG Road,Peenya,2,4.6,0,,0,,0,,80.83,3.68,4.4,4.6
21-09-2025,06:41:00,CNR8650623,Cancelled-Driver,CUST392600,Prime Plus,BANASWADI,Rajamahendri,,,0,,1,The customer was coughing/sick,0,,,,,
16-09-2025,20:29:00,CNR3866321,Successful,CUST904702,eBike,BANASWADI,Richmond Town,4.1,6.1,0,,0,,0,,463.44,9.48,4.9,4.6
30-09-2025,04:16:00,CNR7330752,Cancelled-Customer,CUST617067,Auto,Sunkadakatte,Kalyan Nagar,,,1,Change of plans,0,,0,,,,,
20-09-2025,04:15:00,CNR8397875,Successful,CUST846985,Mini,Basavanagudi,Ulsoor,6.5,6.8,0,,0,,0,,88.25,1.31,4.1,3.9
13-09-2025,17:16:00,CNR7274282,Cancelled-Driver,CUST724633,eBike,Kothanur,Jalahalli,,,0,,1,The customer was coughing/sick,0,,,,,
24-09-2025,13:57:00,CNR3947222,Cancelled-Customer,CUST956708,Bike,Hebbal Kempapura,Jalahalli,,,1,Wrong Address,0,,0,,,,,
07-09-2025,18:25:00,CNR7035637,Successful,CUST844741,Auto,Rajajinagar,Electronic City,4.7,6.3,0,,0,,0,,612.18,14.87,3.8,3.3
13-09-2025,04:32:00,CNR5038196,Successful,CUST264751,Prime SUV,Whitefield,Koramangala 7th Block,9.4,10.6,0,,0,,0,,492.58,5.95,3.8,5
12-09-2025,01:55:00,CNR5232838,Successful,CUST919085,Prime Plus,Srirampura,Devanahalli,7.1,8.1,0,,0,,0,,354.76,8.46,5,4.8
13-09-2025,03:09:00,CNR5191337,Successful,CUST706366,Mini,Gandhi Nagar,HSR Layout,10.8,12.8,0,,0,,0,,483.43,9.02,4.5,4.5
24-09-2025,21:27:00,CNR9723205,Cancelled-Driver,CUST579784,Prime Sedan,Koramangala 4th Block,Whitefield,,,0,,1,More than permitted people in there,0,,,,,
15-09-2025,19:04:00,CNR8518783,Successful,CUST884509,Auto,Richmond Town,Yelahanka,3.6,5.3,0,,0,,0,,267.83,6.51,4.5,3.5
25-09-2025,12:24:00,CNR1964127,Successful,CUST851870,Bike,Srirampura,Yeshwanthpur,3.1,5.1,0,,0,,0,,276.61,8,4.9,5
19-09-2025,19:29:00,CNR0509323,Successful,CUST440383,Bike,Kumaraswamy Layout,Whitefield Main Road,3.2,5.6,0,,0,,0,,403.85,4.31,4,3.8
12-09-2025,16:16:00,CNR6774729,Successful,CUST702611,eBike,Ejipura,Kundalahalli,2.6,4,0,,0,,0,,248.26,3.79,4.8,4.7
25-09-2025,17:55:00,CNR3254568,Successful,CUST196801,Bike,Kothanur,RT Nagar,9,11.4,0,,0,,0,,40.08,4.85,5,5
08-09-2025,00:43:00,CNR2219423,Cancelled-Driver,CUST852442,Bike,RT Nagar,Kumaraswamy Layout,,,0,,1,Personal & Car related issues,0,,,,,
07-09-2025,23:07:00,CNR6920776,Cancelled-Driver,CUST379083,Mini,Sanjay Nagar,Sompura,,,0,,1,The customer was coughing/sick,0,,,,,
16-09-2025,17:48:00,CNR7524090,Successful,CUST974955,Prime Sedan,Sanjay Nagar,Malleswaram,12.1,13,0,,0,,0,,359.47,4.67,4.1,4.5
08-09-2025,08:49:00,CNR3236090,Successful,CUST413877,Prime Sedan,Nayandahalli,Rajamahendri,4.2,6.9,0,,0,,0,,476.52,5.55,4.1,3.9
01-09-2025,20:21:00,CNR9471362,Successful,CUST656031,Bike,Koramangala 4th Block,Banaswadi,5,6,0,,0,,0,,55.95,2.81,4.4,5
20-09-2025,03:18:00,CNR2342380,Successful,CUST703197,Prime SUV,Gandhi Nagar,Hebbal,6.6,7.1,0,,0,,0,,387.34,6.5,5,4.5
16-09-2025,14:00:00,CNR0455008,Successful,CUST420601,Prime Sedan,Hebbal Kempapura,Hebbal,9.5,11.4,0,,0,,0,,406.51,6.16,3.5,4.7
14-09-2025,23:56:00,CNR6325130,Successful,CUST120987,Prime Plus,Koramangala 7th Block,Electronic City,2.9,4.4,0,,0,,0,,424.55,4.22,4.8,3.9
29-09-2025,16:48:00,CNR0386189,Successful,CUST105207,Mini,Ulsoor,Kumaraswamy Layout,7.3,8.9,0,,0,,0,,633.02,12.53,5,3.9
18-09-2025,05:32:00,CNR4609605,Successful,CUST702336,Bike,Gandhi Nagar,HSR Layout,3.3,3.6,0,,0,,0,,286.49,7.25,5,4.6
27-09-2025,03:55:00,CNR2358942,Cancelled-Driver,CUST792636,Bike,Ejipura,Domlur,,,0,,1,More than permitted people in there,0,,,,,
06-09-2025,20:32:00,CNR9740254,Successful,CUST424572,eBike,Sanjay Nagar,Chamarajpet,7.5,7.9,0,,0,,0,,560.14,13.59,3.9,4.3
18-09-2025,04:23:00,CNR4941346,Successful,CUST503165,Mini,Ejipura,Kothanur,5.3,6.4,0,,0,,0,,58.81,1.59,4.7,4.7
27-09-2025,05:34:00,CNR2463256,Successful,CUST456261,Bike,Hebbal,Chamarajpet,6.7,8.9,0,,0,,0,,982.2,14.74,5,5
19-09-2025,16:58:00,CNR2351107,Successful,CUST992060,Bike,Kumaraswamy Layout,Banashankari,7.6,8.8,0,,0,,0,,796.79,9.83,4.5,4.8
22-09-2025,00:38:00,CNR1281259,Successful,CUST897694,Prime SUV,Gandhi Nagar,Frazer Town,4.6,5,0,,0,,0,,528.23,17.24,5,3.9
13-09-2025,20:56:00,CNR1502901,Successful,CUST670860,Auto,Electronic City,Gandhi Nagar,3.8,6.5,0,,0,,0,,98.75,3.21,4.3,3.5
04-09-2025,09:15:00,CNR2934667,Successful,CUST367458,Mini,Yeshwanthpur,Richmond Town,3,3.4,0,,0,,0,,371.32,5.78,4.3,4.6
14-09-2025,01:15:00,CNR4468716,Failed,CUST524859,eBike,Chamarajpet,Hebbal,,,0,,0,,0,,,,,
13-09-2025,02:05:00,CNR7497712,Successful,CUST346024,Mini,Rajajinagar,BANASWADI,6.9,8.5,0,,0,,0,,272.87,7.79,3.5,4.8
27-09-2025,02:48:00,CNR4406439,Cancelled-Driver,CUST934202,Bike,BTM Layout,Kalyan Nagar,,,0,,1,Customer related issue,0,,,,,
08-09-2025,04:08:00,CNR3564798,Cancelled-Driver,CUST708215,eBike,Koramangala 4th Block,Salarpuria,,,0,,1,More than permitted people in there,0,,,,,
29-09-2025,21:30:00,CNR5724357,Failed,CUST262180,Auto,Srirampura,HSR Layout,,,0,,0,,0,,,,,
29-09-2025,17:10:00,CNR0841114,Successful,CUST775661,Bike,Yeshwanthpur,Yelahanka,5.8,8,0,,0,,0,,377.32,7.53,4.4,4.5
08-09-2025,08:33:00,CNR7228742,Cancelled-Customer,CUST885148,Mini,Kundalahalli,Yelahanka,,,1,AC is not working,0,,0,,,,,
12-09-2025,19:27:00,CNR8108675,Successful,CUST403244,Auto,Jalahalli,Chamarajpet,2.3,3.4,0,,0,,0,,228.91,7.71,4,4.4
27-09-2025,06:59:00,CNR9084779,Incomplete,CUST687569,Auto,BTM Layout,Kalyan Nagar,,,0,,0,,1,Other Issue,,,,
29-09-2025,23:44:00,CNR2843472,Cancelled-Driver,CUST877467,Bike,Whitefield,Basavanagudi,,,0,,1,The customer was coughing/sick,0,,,,,
14-09-2025,06:45:00,CNR1002496,Failed,CUST983950,Bike,Koramangala 4th Block,BANASWADI,,,0,,0,,0,,,,,
11-09-2025,21:41:00,CNR9661183,Successful,CUST939438,Prime SUV,Ejipura,Kengeri,5.8,8,0,,0,,0,,105.75,3.53,5,4.3
17-09-2025,11:28:00,CNR9714451,Successful,CUST627578,Bike,Whitefield Main Road,Nayandahalli,17.5,20.6,0,,0,,0,,481.01,3.14,3.5,5
21-09-2025,19:04:00,CNR3473685,Successful,CUST618344,Bike,Basavanagudi,Banaswadi,4.4,6.6,0,,0,,0,,473.81,3.52,4.9,4.6
09-09-2025,10:01:00,CNR8432891,Successful,CUST687359,Mini,Srirampura,Koramangala 7th Block,2.2,3.6,0,,0,,0,,616.67,16.9,4.9,4.5
22-09-2025,18:35:00,CNR8055259,Successful,CUST119172,Prime Sedan,Peenya,Jalahalli,4.9,6.5,0,,0,,0,,87.46,5.02,5,5
03-09-2025,07:37:00,CNR2254692,Successful,CUST775303,eBike,Rajajinagar,MG Road,5.6,5.1,0,,0,,0,,906.22,10.7,4.4,5
02-09-2025,07:00:00,CNR1990897,Successful,CUST599741,Prime Sedan,Koramangala,Ulsoor,4.5,5.5,0,,0,,0,,276.24,6.67,5,5
13-09-2025,02:45:00,CNR1583759,Successful,CUST888470,eBike,Koramangala 4th Block,Salarpuria,3.5,3,0,,0,,0,,112.22,0.87,4.8,4
12-09-2025,07:04:00,CNR2322041,Successful,CUST355752,Mini,Rajajinagar,Kengeri,5.3,5.9,0,,0,,0,,703.74,10.15,4.9,4.7
11-09-2025,01:55:00,CNR0310726,Incomplete,CUST601658,Prime Plus,Devanahalli,Kundalahalli,,,0,,0,,1,Other Issue,,,,
15-09-2025,10:04:00,CNR3616002,Successful,CUST516596,Prime SUV,Gandhi Nagar,Whitefield Main Road,3.1,4.6,0,,0,,0,,889.74,19.5,4.6,4.9
11-09-2025,16:15:00,CNR8583249,Successful,CUST798434,Prime Plus,Shivaji Nagar,Peenya,2.9,4.7,0,,0,,0,,412.64,6.94,4.6,4.8
07-09-2025,08:42:00,CNR2533764,Failed,CUST769620,Auto,Kengeri,BANASWADI,,,0,,0,,0,,,,,
10-09-2025,17:08:00,CNR9932873,Successful,CUST806292,Mini,Shivaji Nagar,Richmond Town,4.6,6.6,0,,0,,0,,331.85,9.27,5,3.7
29-09-2025,23:59:00,CNR8477185,Successful,CUST944674,eBike,Devanahalli,New Thippasandra,2.7,6.1,0,,0,,0,,75.33,3.77,4.1,4
13-09-2025,18:36:00,CNR3220716,Successful,CUST600528,Mini,Srirampura,Kengeri,8.8,8.9,0,,0,,0,,489.89,5.03,5,4.9
14-09-2025,15:51:00,CNR9857003,Successful,CUST538369,Bike,Basavanagudi,Kengeri,9,9.6,0,,0,,0,,176.61,4.32,5,5
19-09-2025,03:06:00,CNR9996084,Successful,CUST941803,Prime SUV,Koramangala,Whitefield,6.1,7.9,0,,0,,0,,956.99,10.39,4.1,3.3
30-09-2025,21:27:00,CNR0686830,Failed,CUST367012,Prime Sedan,Whitefield,Sanjay Nagar,,,0,,0,,0,,,,,
08-09-2025,11:27:00,CNR1759165,Successful,CUST995169,Prime Sedan,New Thippasandra,Sanjay Nagar,7.4,9.7,0,,0,,0,,553.11,10.04,4.6,5
21-09-2025,13:29:00,CNR6192150,Successful,CUST699962,Prime Sedan,Devanahalli,Rajamahendri,9.2,10,0,,0,,0,,1034.4,33.4,4.5,3.7
22-09-2025,01:43:00,CNR0043265,Cancelled-Driver,CUST592853,Mini,Peenya,Devanahalli,,,0,,1,More than permitted people in there,0,,,,,
20-09-2025,21:46:00,CNR6166495,Failed,CUST315773,Prime Sedan,Langford Town,Kothanur,,,0,,0,,0,,,,,
04-09-2025,10:51:00,CNR5861565,Successful,CUST574757,Mini,Gottigere,Sompura,4.8,6.5,0,,0,,0,,243.86,8.81,4.1,3.8
21-09-2025,22:28:00,CNR5000729,Successful,CUST656931,eBike,Yelahanka,Peenya,2.3,4.1,0,,0,,0,,260.96,8.56,4.3,3.8
03-09-2025,04:27:00,CNR8222030,Successful,CUST147486,Mini,HSR Layout,Rajamahendri,14.3,17.5,0,,0,,0,,436.23,5.39,4.7,4.2
19-09-2025,05:17:00,CNR7143932,Successful,CUST437252,Auto,Kothanur,RT Nagar,2.8,3,0,,0,,0,,432.83,7.03,4.9,3.9
23-09-2025,14:15:00,CNR1319117,Incomplete,CUST360289,Mini,Malleswaram,Salarpuria,,,0,,0,,1,Vehicle Breakdown,,,,
07-09-2025,02:28:00,CNR7290984,Successful,CUST387504,Auto,Yelahanka,Basavanagudi,5.8,7.8,0,,0,,0,,177.67,4.1,4.7,4.5
27-09-2025,22:53:00,CNR9375294,Successful,CUST998072,Bike,Gandhi Nagar,Nayandahalli,7.1,9.4,0,,0,,0,,574.54,17.54,4.8,4.8
02-09-2025,00:05:00,CNR1021912,Cancelled-Driver,CUST255205,Prime SUV,Hebbal,Ejipura,,,0,,1,Customer related issue,0,,,,,
27-09-2025,07:10:00,CNR6513719,Successful,CUST467642,eBike,Domlur,Malleshwaram,9.7,11.8,0,,0,,0,,169.23,4.32,4.9,5
14-09-2025,15:13:00,CNR8604328,Successful,CUST216931,Prime SUV,Sunkadakatte,Jayanagar,2.3,5.1,0,,0,,0,,310.1,3.33,4.9,4.7
07-09-2025,01:10:00,CNR0577757,Successful,CUST690246,Prime Sedan,BTM Layout,Yelahanka,4.8,5.2,0,,0,,0,,286.25,4.41,4.3,5
06-09-2025,12:16:00,CNR3984321,Cancelled-Customer,CUST204454,eBike,Koramangala 4th Block,Kothanur,,,1,Change of plans,0,,0,,,,,
29-09-2025,14:18:00,CNR0639579,Cancelled-Driver,CUST996535,Bike,Banaswadi,Ejipura,,,0,,1,Personal & Car related issues,0,,,,,
03-09-2025,13:44:00,CNR5206949,Successful,CUST664154,eBike,Yelahanka,Malleshwaram,2.8,2.1,0,,0,,0,,851.38,17.6,4.3,4.3
07-09-2025,23:50:00,CNR0516801,Failed,CUST576660,Bike,BTM Layout,Ejipura,,,0,,0,,0,,,,,
12-09-2025,22:31:00,CNR0102879,Cancelled-Driver,CUST228575,eBike,Whitefield Main Road,Kengeri,,,0,,1,Personal & Car related issues,0,,,,,
20-09-2025,04:12:00,CNR5481627,Cancelled-Driver,CUST544024,Prime Plus,Basavanagudi,Sanjay Nagar,,,0,,1,More than permitted people in there,0,,,,,
17-09-2025,01:37:00,CNR4531367,Cancelled-Driver,CUST232955,Prime Sedan,Gottigere,Malleshwaram,,,0,,1,Personal & Car related issues,0,,,,,
06-09-2025,20:03:00,CNR7046913,Cancelled-Customer,CUST987808,Bike,Sompura,Kaggadasapura,,,1,Change of plans,0,,0,,,,,
10-09-2025,01:37:00,CNR8737748,Cancelled-Customer,CUST664373,Prime SUV,Kaggadasapura,Ulsoor,,,1,Change of plans,0,,0,,,,,
08-09-2025,15:32:00,CNR0284292,Successful,CUST699418,Prime Sedan,Gottigere,Banaswadi,4,6.7,0,,0,,0,,289.02,4.11,4.2,4
07-09-2025,22:05:00,CNR1329504,Successful,CUST568049,Prime SUV,Domlur,Devanahalli,8.6,9.7,0,,0,,0,,975.67,8.87,4.4,4.4
13-09-2025,05:04:00,CNR3364957,Successful,CUST421505,eBike,HSR Layout,Jayanagar,2.2,3.6,0,,0,,0,,293.63,4.06,4.2,4.5
21-09-2025,18:56:00,CNR1988191,Successful,CUST562988,Prime Plus,Kengeri,Jayanagar,9.8,11.4,0,,0,,0,,998.13,10.5,4.7,4.2
07-09-2025,18:15:00,CNR4600437,Successful,CUST556358,Prime Plus,Shivaji Nagar,Devanahalli,3.8,5.4,0,,0,,0,,760.5,15.29,5,4.7
13-09-2025,22:36:00,CNR3543742,Cancelled-Driver,CUST945919,Prime SUV,Srirampura,Jalahalli,,,0,,1,Customer related issue,0,,,,,
13-09-2025,16:20:00,CNR4030711,Failed,CUST579965,Mini,Salarpuria,Sompura,,,0,,0,,0,,,,,
30-09-2025,06:42:00,CNR6984140,Cancelled-Customer,CUST553541,eBike,RT Nagar,Kaggadasapura,,,1,Change of plans,0,,0,,,,,
29-09-2025,22:20:00,CNR0016310,Successful,CUST545752,Prime Sedan,Shivaji Nagar,Indiranagar,13.2,15.6,0,,0,,0,,321.31,7.72,4.7,4.1
25-09-2025,07:16:00,CNR6001651,Failed,CUST827921,Auto,BTM Layout,Chamarajpet,,,0,,0,,0,,,,,
08-09-2025,12:08:00,CNR8281241,Cancelled-Driver,CUST519721,Auto,Koramangala,BTM Layout,,,0,,1,Customer related issue,0,,,,,
03-09-2025,21:41:00,CNR4395462,Cancelled-Driver,CUST890153,eBike,Langford Town,Nayandahalli,,,0,,1,Customer related issue,0,,,,,
11-09-2025,09:29:00,CNR3288833,Successful,CUST160158,Prime SUV,Banashankari,HSR Layout,7.8,9.7,0,,0,,0,,490.61,8.94,4.7,4.6
09-09-2025,10:59:00,CNR3116619,Cancelled-Driver,CUST825690,Prime Sedan,Gottigere,Whitefield,,,0,,1,More than permitted people in there,0,,,,,
16-09-2025,02:00:00,CNR1717253,Successful,CUST740276,Mini,Kundalahalli,Srirampura,3.9,4,0,,0,,0,,143.38,1,4.6,5
24-09-2025,14:39:00,CNR1807295,Cancelled-Driver,CUST185578,Prime Sedan,Sompura,Kundalahalli,,,0,,1,More than permitted people in there,0,,,,,
27-09-2025,19:32:00,CNR2008515,Successful,CUST716906,Prime Plus,Salarpuria,Banaswadi,3.4,4.8,0,,0,,0,,386.28,7.89,3.7,4.3
27-09-2025,08:08:00,CNR5771909,Successful,CUST226344,Mini,Hebbal Kempapura,Indiranagar,8,9.8,0,,0,,0,,939.96,17.54,5,4
12-09-2025,02:56:00,CNR4463820,Cancelled-Driver,CUST730601,Mini,Basavanagudi,Peenya,,,0,,1,Personal & Car related issues,0,,,,,
21-09-2025,07:23:00,CNR9635434,Successful,CUST298942,Auto,Gandhi Nagar,Banashankari,4.5,6.5,0,,0,,0,,424.84,6.72,3.8,4.2
11-09-2025,14:53:00,CNR5576297,Successful,CUST482500,Auto,MG Road,Shivaji Nagar,2.4,3.7,0,,0,,0,,409.84,8.71,5,4
03-09-2025,17:45:00,CNR2181923,Failed,CUST271632,eBike,MG Road,Chamarajpet,,,0,,0,,0,,,,,
21-09-2025,09:39:00,CNR9695978,Successful,CUST499033,Prime Sedan,Kaggadasapura,Devanahalli,4.5,5.4,0,,0,,0,,504.66,19.74,4.4,4.8
01-09-2025,20:33:00,CNR1375762,Successful,CUST979339,Prime SUV,Salarpuria,Richmond Town,5.8,8.3,0,,0,,0,,513.86,17,4.3,4.2
13-09-2025,00:42:00,CNR7952000,Successful,CUST365413,Mini,Kalyan Nagar,BANASWADI,5.1,6.2,0,,0,,0,,174.12,1.23,4.3,4.2
11-09-2025,09:59:00,CNR9986384,Cancelled-Customer,CUST232308,Prime Plus,Yelahanka,Kengeri,,,1,Change of plans,0,,0,,,,,
21-09-2025,21:06:00,CNR1807965,Successful,CUST459149,Mini,Kothanur,Kaggadasapura,2.6,4.7,0,,0,,0,,522.31,12.62,4,4.3
24-09-2025,04:16:00,CNR6357346,Cancelled-Driver,CUST704887,Prime SUV,Gottigere,Koramangala 4th Block,,,0,,1,Customer related issue,0,,,,,
10-09-2025,03:56:00,CNR0791753,Cancelled-Driver,CUST789775,Bike,Gottigere,Electronic City,,,0,,1,Personal & Car related issues,0,,,,,
25-09-2025,03:47:00,CNR1115016,Cancelled-Driver,CUST780151,Bike,Gottigere,Srirampura,,,0,,1,The customer was coughing/sick,0,,,,,
10-09-2025,17:09:00,CNR3941694,Cancelled-Customer,CUST740904,Bike,Kaggadasapura,Malleswaram,,,1,Driver is not moving towards pickup location,0,,0,,,,,
14-09-2025,08:18:00,CNR6363186,Successful,CUST320824,Bike,Sompura,Banashankari,5,7.4,0,,0,,0,,414.63,7,5,5
22-09-2025,22:21:00,CNR4912228,Successful,CUST218723,Auto,Yelahanka,Banashankari,4.9,6.7,0,,0,,0,,253.07,5.56,5,4.6
21-09-2025,06:43:00,CNR1103332,Successful,CUST570102,Prime SUV,New Thippasandra,Salarpuria,11.7,12.5,0,,0,,0,,297.17,8.72,5,5
30-09-2025,08:32:00,CNR8222596,Cancelled-Driver,CUST556370,Prime Sedan,Yelahanka,Rajajinagar,,,0,,1,The customer was coughing/sick,0,,,,,
07-09-2025,15:16:00,CNR6984311,Successful,CUST707514,Prime Plus,Kumaraswamy Layout,Koramangala 4th Block,2.4,4.4,0,,0,,0,,380.29,9.84,4.7,3.9
20-09-2025,01:05:00,CNR5318282,Successful,CUST620321,Mini,Gottigere,Sunkadakatte,3.3,4.5,0,,0,,0,,281.46,4.63,5,3.8
20-09-2025,19:40:00,CNR9545948,Successful,CUST986530,Prime SUV,Nayandahalli,Shivaji Nagar,6.2,10.1,0,,0,,0,,498.43,7.22,4.2,3.3
28-09-2025,08:10:00,CNR2161449,Cancelled-Driver,CUST987967,Bike,Whitefield,Nayandahalli,,,0,,1,The customer was coughing/sick,0,,,,,
06-09-2025,17:45:00,CNR0303143,Cancelled-Driver,CUST116248,Prime Plus,Hebbal Kempapura,MG Road,,,0,,1,Customer related issue,0,,,,,
